epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.65813,1.85951,6.95264,0.86768,0.00028,0.08333,0.00018,4e-05,1.5314,4.8747,1.08255,8.335e-05,8.335e-05,8.335e-05
2,8.96466,1.77674,5.69803,0.87593,0.0004,0.125,0.00026,0.00014,1.51991,4.85834,1.03823,0.000179739,0.000179739,0.000179739
3,13.5309,1.61561,3.91944,1.00297,0.00099,0.33333,0.00174,0.00094,1.43256,4.64968,0.98791,0.000272168,0.000272168,0.000272168
4,17.7868,1.29209,3.78124,0.80072,0.00127,0.375,0.00488,0.00166,1.41401,4.48718,0.981,0.000360635,0.000360635,0.000360635
5,22.0295,1.73001,3.5896,1.04778,0.00081,0.20833,0.00252,0.00072,1.41141,4.47341,0.94823,0.000445142,0.000445142,0.000445142
6,26.2604,1.94775,4.14431,1.07282,0.00145,0.5,0.00363,0.00131,1.61547,4.35984,0.97283,0.000525688,0.000525688,0.000525688
7,30.5936,1.79095,3.26364,0.89476,0.00149,0.95833,0.00396,0.0016,1.2907,4.16998,0.96085,0.000602274,0.000602274,0.000602274
8,34.955,2.18055,3.94767,1.13207,0.00087,0.54167,0.00096,0.00035,1.58852,4.4396,1.06039,0.000674898,0.000674898,0.000674898
9,40.0251,1.65442,3.14126,1.10929,0.00102,0.875,0.01433,0.00749,1.53876,4.05576,0.99671,0.000743562,0.000743562,0.000743562
10,44.7383,1.83036,3.12756,1.05875,0.00089,0.75,0.08326,0.05052,1.64571,3.59336,0.99356,0.000808265,0.000808265,0.000808265
11,49.5641,1.60736,3.41084,0.80915,0.00098,0.875,0.03734,0.01737,1.59211,3.66676,1.0101,0.000869007,0.000869007,0.000869007
12,54.5667,1.43165,2.91531,0.84526,0.0012,1,0.04399,0.019,1.48136,3.63126,0.97047,0.000925788,0.000925788,0.000925788
13,59.1467,1.83414,2.95961,1.02138,0.00103,1,0.06184,0.03039,1.56544,3.76323,0.98118,0.000978609,0.000978609,0.000978609
14,63.8847,1.56287,3.00365,1.05084,0.00075,0.875,0.04143,0.02456,1.40705,3.68807,1.02196,0.00102747,0.00102747,0.00102747
15,69.0316,1.48157,3.17251,0.87722,0.00065,0.83333,0.04119,0.02292,1.59797,3.76045,1.07505,0.00107237,0.00107237,0.00107237
16,74.1494,1.97707,3.71363,1.04077,0.0006,0.83333,0.02172,0.0088,1.91181,4.12344,1.13504,0.00111331,0.00111331,0.00111331
17,79.794,1.66417,2.96909,0.89597,0.0005,0.83333,0.04016,0.02803,1.95097,3.88964,1.16066,0.00113889,0.00113889,0.00113889
18,84.85,1.28382,3.35489,0.8393,0.85509,0.04167,0.0942,0.07201,1.40011,3.81013,1.05427,0.00110589,0.00110589,0.00110589
19,90.1031,1.71369,2.85997,1.07818,0.56883,0.125,0.10916,0.06306,1.41047,3.3173,1.11086,0.00107288,0.00107288,0.00107288
20,94.8056,1.6746,3.27833,1.04677,0.55188,0.06816,0.13077,0.06523,1.44322,3.20657,1.08631,0.00103987,0.00103987,0.00103987
21,99.6251,1.84724,2.9388,1.06215,0.03725,0.125,0.07607,0.04598,1.51537,3.21737,1.05863,0.00100687,0.00100687,0.00100687
22,104.156,1.67728,3.17574,1.09908,0.17325,0.20833,0.16331,0.06776,1.68224,3.29179,1.13647,0.000973861,0.000973861,0.000973861
23,108.94,1.43712,2.61271,0.89179,0.16419,0.375,0.15569,0.08164,1.77332,3.30286,1.24247,0.000940855,0.000940855,0.000940855
24,113.747,1.30521,2.63852,0.9917,0.56086,0.29167,0.11193,0.06074,1.5153,3.12195,1.14379,0.000907848,0.000907848,0.000907848
25,118.705,1.44287,2.70662,0.89535,0.55234,0.25,0.08286,0.04275,1.67419,3.08997,1.16285,0.000874842,0.000874842,0.000874842
26,123.753,2.03955,3.82761,1.01325,0.00105,0.83333,0.08039,0.04117,1.43704,3.13917,1.07282,0.000841835,0.000841835,0.000841835
27,128.563,1.50596,2.80396,0.92525,0.00129,1,0.13029,0.0626,1.2657,3.11108,0.96755,0.000808828,0.000808828,0.000808828
28,133.912,1.20948,2.71203,0.86465,0.10795,0.41667,0.14498,0.08455,1.28539,2.95938,0.93224,0.000775822,0.000775822,0.000775822
29,138.403,1.48595,3.64951,0.98865,0.11609,0.20833,0.1264,0.0793,1.22744,2.91213,0.92799,0.000742815,0.000742815,0.000742815
30,143.784,1.54414,2.79398,1.01246,0.07672,0.125,0.1262,0.07595,1.32319,2.97486,0.9165,0.000709809,0.000709809,0.000709809
31,148.325,1.69048,2.88001,1.14726,0.11139,0.29167,0.1517,0.09799,1.36646,2.93773,0.92992,0.000676802,0.000676802,0.000676802
32,152.934,1.52531,2.82178,0.89392,0.13668,0.41667,0.21662,0.13594,1.29755,2.87723,0.94962,0.000643795,0.000643795,0.000643795
33,157.549,1.30606,2.57454,0.93938,0.16925,0.41667,0.21515,0.14416,1.2764,2.82203,0.9494,0.000610789,0.000610789,0.000610789
34,162.316,1.33039,2.48268,0.83245,0.19434,0.45833,0.23342,0.15416,1.22098,2.8135,0.91712,0.000577782,0.000577782,0.000577782
35,167.016,1.59255,3.0323,1.10274,0.31906,0.54167,0.22647,0.14468,1.25452,2.77362,0.9079,0.000544776,0.000544776,0.000544776
36,171.725,1.1181,2.4248,0.76607,0.53477,0.45833,0.16782,0.10253,1.21437,2.85928,0.88878,0.000511769,0.000511769,0.000511769
37,176.344,1.75678,5.11273,0.75377,0.53778,0.29167,0.17919,0.10586,1.20897,2.74279,0.88593,0.000478762,0.000478762,0.000478762
