epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.15546,2.06358,6.56591,1.16309,0.00027,0.08333,0.00019,5e-05,1.39536,4.84298,1.04617,8.335e-05,8.335e-05,8.335e-05
2,6.0279,2.01866,4.42828,1.11268,0.00048,0.16667,0.00049,0.00016,1.57047,4.75705,1.02441,0.000179739,0.000179739,0.000179739
3,8.7402,1.42486,3.6131,0.98552,0.00113,0.54167,0.00301,0.00118,1.47755,4.48476,0.94512,0.000272168,0.000272168,0.000272168
4,11.7848,2.06389,4.18235,1.01673,0.00114,0.625,0.00309,0.0013,1.25315,4.37316,0.92522,0.000360635,0.000360635,0.000360635
5,14.5089,1.4453,3.48716,0.83018,0.00095,0.58333,0.00279,0.0009,1.30036,4.35785,0.97195,0.000445142,0.000445142,0.000445142
6,15.9647,1.36856,3.65365,1.02914,0.00072,0.33333,0.00311,0.00117,1.29527,4.41184,0.97242,0.000525688,0.000525688,0.000525688
7,17.3865,1.50825,4.00666,0.85014,0.00103,0.83333,0.00236,0.00096,1.3842,4.37402,1.03054,0.000602274,0.000602274,0.000602274
8,20.4107,1.34664,4.85029,0.82822,0.00048,0.41667,0.00059,0.00018,1.58377,4.78664,1.11431,0.000674898,0.000674898,0.000674898
9,23.1625,1.62886,3.42211,0.98317,0.0007,0.625,0.00156,0.00044,1.64263,4.38411,1.10659,0.000743562,0.000743562,0.000743562
10,25.8951,1.65813,3.42548,1.03626,0.00071,0.75,0.03545,0.00799,1.56882,4.08028,1.0997,0.000808265,0.000808265,0.000808265
11,28.6798,1.43652,3.03923,0.8842,0.00217,0.45833,0.04211,0.01576,1.68136,3.75441,1.07015,0.000869007,0.000869007,0.000869007
12,31.4047,1.68202,4.16956,0.89689,0.00078,0.875,0.04805,0.02,1.51244,3.76507,1.00569,0.000925788,0.000925788,0.000925788
13,34.2182,2.08677,3.45571,1.10253,0.00266,0.58333,0.06212,0.0306,1.48293,3.64682,0.98268,0.000978609,0.000978609,0.000978609
14,37.1161,1.54895,2.86906,0.85634,0.53399,0.08333,0.0673,0.03078,1.62958,3.5749,1.02189,0.00102747,0.00102747,0.00102747
15,39.8135,1.2764,4.77077,0.71017,0.07333,0.41667,0.06399,0.03183,1.49954,3.51552,1.0405,0.00107237,0.00107237,0.00107237
16,42.9996,1.72051,2.86419,1.05875,0.00076,0.875,0.03715,0.01913,1.78646,3.51811,1.06693,0.00111331,0.00111331,0.00111331
17,45.785,2.17365,4.54346,1.07735,0.00068,0.875,0.02983,0.01138,1.92013,3.79735,1.24509,0.00113889,0.00113889,0.00113889
18,49.0753,1.44914,4.19362,0.85612,0.0007,1,0.03867,0.02098,1.91244,3.73237,1.41235,0.00110589,0.00110589,0.00110589
19,51.3227,2.21565,3.33351,1.13294,0.00079,1,0.09151,0.06093,1.7562,3.7363,1.24004,0.00107288,0.00107288,0.00107288
20,54.0908,1.89417,3.24866,1.05423,0.09215,0.45833,0.10373,0.04163,1.6812,3.49372,1.12869,0.00103987,0.00103987,0.00103987
21,56.8385,1.54748,3.33889,0.95233,0.00089,1,0.07813,0.03873,1.61275,3.48346,1.09326,0.00100687,0.00100687,0.00100687
